sample,mae_with_control,mae_without_control,better
0,0.8480212092399597,0.8480212092399597,no_control
1,0.8470286726951599,0.8470286726951599,no_control
2,0.8529788851737976,0.8529788851737976,no_control
3,0.8574931621551514,0.8574931621551514,no_control
4,0.8608951568603516,0.8608951568603516,no_control
5,0.8651599287986755,0.8651599287986755,no_control
6,0.8670828938484192,0.8670828938484192,no_control
7,0.8638749122619629,0.8638749122619629,no_control
8,0.8657853603363037,0.8657853603363037,no_control
9,0.8596681952476501,0.8596681952476501,no_control
10,0.8431238532066345,0.8431238532066345,no_control
11,0.8271118402481079,0.8271118402481079,no_control
12,0.8073728084564209,0.8073728084564209,no_control
13,0.8111988306045532,0.8111988306045532,no_control
14,0.8084638714790344,0.8084638714790344,no_control
15,0.8028609752655029,0.8028609752655029,no_control
16,0.7991583943367004,0.7991583943367004,no_control
17,0.7968959212303162,0.7968959212303162,no_control
18,0.7978461384773254,0.7978461384773254,no_control
19,0.7955881953239441,0.7955881953239441,no_control
20,0.7945495247840881,0.7945495247840881,no_control
21,0.7920661568641663,0.7920661568641663,no_control
22,0.7956599593162537,0.7956599593162537,no_control
23,0.797200083732605,0.797200083732605,no_control
24,0.8003626465797424,0.8003626465797424,no_control
25,0.8078922033309937,0.8078922033309937,no_control
26,0.8096845746040344,0.8096845746040344,no_control
27,0.8095447421073914,0.8095447421073914,no_control
28,0.8050745129585266,0.8050745129585266,no_control
29,0.8031109571456909,0.8031109571456909,no_control
30,0.7981807589530945,0.7981807589530945,no_control
31,0.7968370318412781,0.7968370318412781,no_control
32,0.7910063862800598,0.7910063862800598,no_control
33,0.7829938530921936,0.7829938530921936,no_control
34,0.7729454040527344,0.7729454040527344,no_control
35,0.7656980156898499,0.7656980156898499,no_control
36,0.7534982562065125,0.7534982562065125,no_control
37,0.7331605553627014,0.7331605553627014,no_control
38,0.7188984155654907,0.7188984155654907,no_control
39,0.7127751111984253,0.7127751111984253,no_control
40,0.7023423910140991,0.7023423910140991,no_control
41,0.7045100331306458,0.7045100331306458,no_control
42,0.7048421502113342,0.7048421502113342,no_control
43,0.7039402723312378,0.7039402723312378,no_control
44,0.702339231967926,0.702339231967926,no_control
45,0.6991714239120483,0.6991714239120483,no_control
46,0.6970629692077637,0.6970629692077637,no_control
47,0.69590163230896,0.69590163230896,no_control
48,0.6979661583900452,0.6979661583900452,no_control
49,0.7064086198806763,0.7064086198806763,no_control
50,0.7082952857017517,0.7082952857017517,no_control
51,0.7105172872543335,0.7105172872543335,no_control
52,0.7138648629188538,0.7138648629188538,no_control
53,0.7175494432449341,0.7175494432449341,no_control
54,0.7208192944526672,0.7208192944526672,no_control
55,0.729504406452179,0.729504406452179,no_control
56,0.7315790057182312,0.7315790057182312,no_control
57,0.7387868762016296,0.7387868762016296,no_control
58,0.7544848918914795,0.7544848918914795,no_control
59,0.7702091932296753,0.7702091932296753,no_control
60,0.7876642346382141,0.7876642346382141,no_control
61,0.7959474921226501,0.7959474921226501,no_control
62,0.8116961121559143,0.8116961121559143,no_control
63,0.8180727362632751,0.8180727362632751,no_control
64,0.8205114006996155,0.8205114006996155,no_control
65,0.8194020986557007,0.8194020986557007,no_control
66,0.8179197907447815,0.8179197907447815,no_control
67,0.817941427230835,0.817941427230835,no_control
68,0.8178887367248535,0.8178887367248535,no_control
69,0.8188755512237549,0.8188755512237549,no_control
70,0.8189128637313843,0.8189128637313843,no_control
71,0.8233489394187927,0.8233489394187927,no_control
72,0.8212819695472717,0.8212819695472717,no_control
