sample,mae_with_control,mae_without_control,better
0,0.845952033996582,0.845952033996582,no_control
1,0.8449571132659912,0.8449571132659912,no_control
2,0.850895881652832,0.850895881652832,no_control
3,0.8554149866104126,0.8554149866104126,no_control
4,0.8588171601295471,0.8588171601295471,no_control
5,0.8631419539451599,0.8631419539451599,no_control
6,0.8650639057159424,0.8650639057159424,no_control
7,0.8618826270103455,0.8618826270103455,no_control
8,0.8638989925384521,0.8638989925384521,no_control
9,0.857807457447052,0.857807457447052,no_control
10,0.8412492871284485,0.8412492871284485,no_control
11,0.825208306312561,0.825208306312561,no_control
12,0.8054137825965881,0.8054137825965881,no_control
13,0.8092202544212341,0.8092202544212341,no_control
14,0.8064605593681335,0.8064605593681335,no_control
15,0.8008183240890503,0.8008183240890503,no_control
16,0.7971066236495972,0.7971066236495972,no_control
17,0.7948562502861023,0.7948562502861023,no_control
18,0.7958373427391052,0.7958373427391052,no_control
19,0.7936127185821533,0.7936127185821533,no_control
20,0.7926208972930908,0.7926208972930908,no_control
21,0.7900334596633911,0.7900334596633911,no_control
22,0.7935705780982971,0.7935705780982971,no_control
23,0.7950995564460754,0.7950995564460754,no_control
24,0.7982653975486755,0.7982653975486755,no_control
25,0.8057894110679626,0.8057894110679626,no_control
26,0.8075777888298035,0.8075777888298035,no_control
27,0.8074408173561096,0.8074408173561096,no_control
28,0.802962064743042,0.802962064743042,no_control
29,0.8009719848632812,0.8009719848632812,no_control
30,0.7960374355316162,0.7960374355316162,no_control
31,0.7946574687957764,0.7946574687957764,no_control
32,0.7888198494911194,0.7888198494911194,no_control
33,0.7808011770248413,0.7808011770248413,no_control
34,0.7707453370094299,0.7707453370094299,no_control
35,0.7634891271591187,0.7634891271591187,no_control
36,0.7512673735618591,0.7512673735618591,no_control
37,0.7309069037437439,0.7309069037437439,no_control
38,0.7166194319725037,0.7166194319725037,no_control
39,0.7105159163475037,0.7105159163475037,no_control
40,0.7000667452812195,0.7000667452812195,no_control
41,0.7021729946136475,0.7021729946136475,no_control
42,0.7025054693222046,0.7025054693222046,no_control
43,0.701604425907135,0.701604425907135,no_control
44,0.7000693082809448,0.7000693082809448,no_control
45,0.6969670057296753,0.6969670057296753,no_control
46,0.6949607729911804,0.6949607729911804,no_control
47,0.6938497424125671,0.6938497424125671,no_control
48,0.6959178447723389,0.6959178447723389,no_control
