sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	1.169139266	1.169139266	0	0	0.1214156523	0.1212902591	0.1213571206	0
1	1.070756793	1.070756793	0	0	0.1213599518	0.1212128922	0.1213166341	0
2	1.038920879	1.038920879	0	0	0.1213794127	0.1213651299	0.1212195382	0
3	1.172994614	1.172994614	0	0	0.1215656996	0.1214421913	0.1215268299	0
4	1.414013147	1.414013147	0	0	0.1215503961	0.1213731244	0.1215488687	0
5	1.53758812	1.53758812	0	0	0.1213964745	0.1213677004	0.1212303042	0
6	1.676209688	1.676209688	0	0	0.1215296015	0.1215926632	0.1212751046	0
7	2.115700722	2.115700722	0	0	0.12145596	0.1214266196	0.1213598102	0
8	2.467650175	2.467650175	0	0	0.1214080527	0.1213146076	0.1212983876	0
9	2.714031696	2.714031696	0	0	0.1213464513	0.1213245243	0.1211810783	0
10	2.802915335	2.802915335	0	0	0.1214314774	0.1214331314	0.1212478206	0
11	2.682617188	2.682617188	0	0	0.1214192733	0.1214069948	0.1212778091	0
12	2.408931732	2.408931732	0	0	0.121400699	0.1213361993	0.1212775558	0
13	2.180864811	2.180864811	0	0	0.1213291511	0.1213414893	0.1211311668	0
14	1.92043221	1.92043221	0	0	0.1214037538	0.1214393824	0.1212087125	0
15	1.45103097	1.45103097	0	0	0.1213844419	0.1214234456	0.1212420091	0
16	1.302548528	1.302548528	0	0	0.1214252636	0.1213406846	0.121318616	0
17	1.331725836	1.331725836	0	0	0.1213363484	0.1213071495	0.1212004647	0
18	1.546521068	1.546521068	0	0	0.1213987023	0.1213447228	0.1212974638	0
19	1.728189707	1.728189707	0	0	0.1214069277	0.121352993	0.121296905	0
20	1.941908479	1.941908479	0	0	0.1214177012	0.1213393658	0.1213110536	0
21	2.106360674	2.106360674	0	0	0.121405378	0.1213379428	0.1213008687	0
22	2.191366911	2.191366911	0	0	0.1214248016	0.1214155778	0.1212922111	0
23	2.265130997	2.265130997	0	0	0.1214449257	0.1213890389	0.1213505045	0
24	2.320090771	2.320090771	0	0	0.1213282421	0.121201694	0.1212691218	0
25	2.202909231	2.202909231	0	0	0.1213517934	0.1212707236	0.1212383434	0
26	2.085109949	2.085109949	0	0	0.1214004233	0.1212759167	0.1213444099	0
27	2.026495457	2.026495457	0	0	0.1214618534	0.1212858409	0.1214163229	0
28	2.22483325	2.22483325	0	0	0.1214398891	0.1213023067	0.1213928536	0
29	2.47486496	2.47486496	0	0	0.1215377077	0.1213836297	0.1214761883	0
30	2.895730734	2.895730734	0	0	0.1213727742	0.1212789342	0.1213025376	0
31	2.902919054	2.902919054	0	0	0.1214748248	0.1213173494	0.1214314029	0
32	3.224560976	3.224560976	0	0	0.1214628965	0.1212980673	0.1213991567	0
33	3.479023457	3.479023457	0	0	0.1214067191	0.1212856397	0.1212947443	0
34	3.586775064	3.586775064	0	0	0.1213901043	0.1213160232	0.1212591901	0
35	3.489872456	3.489872456	0	0	0.1214285567	0.1212832555	0.1213125512	0
36	3.029842138	3.029842138	0	0	0.121394448	0.1213159934	0.121247448	0
37	2.314633608	2.314633608	0	0	0.1213916019	0.1212985888	0.1212476715	0
38	1.413218617	1.413218617	0	0	0.1213719696	0.121318154	0.1212165877	0
39	1.280596852	1.280596852	0	0	0.1213889048	0.1213242784	0.1213019639	0
40	0.9059427381	0.9059427381	0	0	0.1213822886	0.1213584915	0.1212301999	0
41	0.9684801698	0.9684801698	0	0	0.1213192269	0.1212780848	0.1212032959	0
42	1.121028781	1.121028781	0	0	0.1213571802	0.1213261113	0.1212647557	0
43	1.253080726	1.253080726	0	0	0.1213871986	0.1213367581	0.1212852672	0
44	1.386209249	1.386209249	0	0	0.1214589328	0.1214000657	0.1213420108	0
45	1.488639593	1.488639593	0	0	0.1214354858	0.1213710234	0.1213384047	0
46	1.452349544	1.452349544	0	0	0.1214445755	0.1213840917	0.1213347241	0
47	1.373170853	1.373170853	0	0	0.121407032	0.1214251667	0.1212443262	0
48	1.345678329	1.345678329	0	0	0.1214027479	0.1212839112	0.1213403717	0
49	1.255809784	1.255809784	0	0	0.1212613583	0.1211888865	0.121172525	0
50	1.126420498	1.126420498	0	0	0.121356599	0.1212886944	0.1212625876	0
51	1.007512927	1.007512927	0	0	0.121459797	0.1213530749	0.1213794723	0
52	0.8887571692	0.8887571692	0	0	0.1214685291	0.1213537827	0.12138284	0
53	1.023530841	1.023530841	0	0	0.1214783862	0.1214021295	0.1213777885	0
54	0.9974646568	0.9974646568	0	0	0.1214488298	0.1214548871	0.1212920174	0
55	1.077861905	1.077861905	0	0	0.1214348152	0.1214829683	0.1212684363	0
56	1.142243624	1.142243624	0	0	0.1214468554	0.1213965788	0.1213467941	0
57	1.27282393	1.27282393	0	0	0.1213738248	0.1213172525	0.1212580875	0
58	1.599433661	1.599433661	0	0	0.1213931292	0.1213638037	0.1212685108	0
59	1.846643686	1.846643686	0	0	0.1214544028	0.1213735268	0.1213349178	0
60	2.162470579	2.162470579	0	0	0.1213966012	0.1212999895	0.1212698743	0
61	1.769632339	1.769632339	0	0	0.121347256	0.1213066652	0.1211774349	0
62	1.597439528	1.597439528	0	0	0.1213826388	0.1213828996	0.1212177351	0
63	1.302256942	1.302256942	0	0	0.1213795617	0.1213805303	0.1212439463	0
64	1.331214547	1.331214547	0	0	0.1213355511	0.1213313341	0.1212017015	0
65	1.555782914	1.555782914	0	0	0.121365495	0.1213681772	0.121234335	0
66	1.812507629	1.812507629	0	0	0.1213183179	0.1213008538	0.1212192178	0
67	2.01331687	2.01331687	0	0	0.1213857532	0.1213524342	0.1212551221	0
68	2.129498005	2.129498005	0	0	0.1214080602	0.1213921383	0.1212774143	0
69	2.225255966	2.225255966	0	0	0.1214313656	0.1213981435	0.1213038787	0
70	2.144685507	2.144685507	0	0	0.1213852614	0.1214004382	0.1212194711	0
71	2.112047911	2.112047911	0	0	0.12144766	0.1213852838	0.1213417724	0
72	2.026390791	2.026390791	0	0	0.121315293	0.1212373823	0.1212318093	0
73	1.805213928	1.805213928	0	0	0.1213417873	0.1212196946	0.1212884933	0
74	1.570909142	1.570909142	0	0	0.1214112416	0.1213031784	0.1213527769	0
75	1.423036575	1.423036575	0	0	0.1214701161	0.1212888956	0.1214443073	0
76	1.367685318	1.367685318	0	0	0.1214356422	0.1213259324	0.121370025	0
77	1.147642851	1.147642851	0	0	0.1214644089	0.1214027852	0.1213563085	0
78	1.210775971	1.210775971	0	0	0.1214028448	0.1213781983	0.1212544218	0
79	1.19655776	1.19655776	0	0	0.1214405075	0.121334739	0.1213758364	0
80	1.408141255	1.408141255	0	0	0.121389769	0.121239081	0.1213386133	0
81	1.647683859	1.647683859	0	0	0.1213738173	0.1212538704	0.121314384	0
82	1.825542212	1.825542212	0	0	0.1214590445	0.1213706881	0.1213563606	0
83	1.830856442	1.830856442	0	0	0.1214200482	0.1213374287	0.1213113591	0
84	1.659449935	1.659449935	0	0	0.1214004159	0.1213380769	0.1212604418	0
85	1.509182692	1.509182692	0	0	0.1213731393	0.1213497892	0.1212109178	0
86	1.109406829	1.109406829	0	0	0.1214521602	0.1213680133	0.1213229448	0
87	1.145753026	1.145753026	0	0	0.1213798076	0.1212957874	0.1213200092	0
88	1.113700986	1.113700986	0	0	0.1214346811	0.1213246658	0.1213545129	0
89	1.322410583	1.322410583	0	0	0.1213642731	0.1213002577	0.121250391	0
90	1.510664821	1.510664821	0	0	0.1214131117	0.121338591	0.1213246658	0
91	1.668205261	1.668205261	0	0	0.1213627085	0.121336408	0.1212354824	0
92	1.79520607	1.79520607	0	0	0.1213603094	0.1213460341	0.1212364584	0
