sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	0.9201242328	0.9201242328	0	0	0.2536856532	0.2003770322	0.8377066255	4.121130466
1	0.891417563	0.891417563	0	0	0.2585416138	0.1999697685	0.8493506908	4.121034145
2	0.8924883008	0.8924883008	0	0	0.2634038329	0.1981548518	0.8597916365	4.121308804
3	0.898984611	0.898984611	0	0	0.2667739093	0.2043602318	0.8624582887	4.121562004
4	0.9202647209	0.9202647209	0	0	0.2649397254	0.2022135109	0.8623509407	4.121764183
5	0.9278879762	0.9278879762	0	0	0.2640536129	0.199910298	0.8586770892	4.121490479
6	0.8948201537	0.8948201537	0	0	0.265416801	0.1844952554	0.8532603979	4.121100903
7	0.9187297821	0.9187297821	0	0	0.2599462867	0.178795889	0.8395962715	4.120967388
8	0.9249522686	0.9249522686	0	0	0.2590281069	0.1961786002	0.8491945863	4.121141911
9	0.8827270269	0.8827270269	0	0	0.2611619234	0.1943041533	0.8524572253	4.120923042
10	0.8864808679	0.8864808679	0	0	0.2615231574	0.2071114033	0.8553990722	4.121170044
11	0.8942810893	0.8942810893	0	0	0.2678751349	0.2119527161	0.8649615049	4.121361732
12	0.9038928151	0.9038928151	0	0	0.264996767	0.2110451758	0.862339139	4.121366024
13	0.9435370564	0.9435370564	0	0	0.264565289	0.204848066	0.858520031	4.121359825
14	0.9575213194	0.9575213194	0	0	0.2623924017	0.1968418807	0.8508769274	4.121032715
15	0.9593535066	0.9593535066	0	0	0.2576002777	0.1955344528	0.8394706249	4.120946884
16	0.9581109881	0.9581109881	0	0	0.2605887651	0.2061679214	0.845394671	4.121108055
17	0.9514029622	0.9514029622	0	0	0.2638278604	0.1999072582	0.8503519893	4.12092495
18	0.9876407385	0.9876407385	0	0	0.2628114223	0.2089068741	0.855584383	4.12118578
19	0.9864178896	0.9864178896	0	0	0.2676769495	0.2124139965	0.864223361	4.121435165
20	0.9873825312	0.9873825312	0	0	0.2666336894	0.2034549266	0.8594232202	4.121518612
21	1.014032602	1.014032602	0	0	0.2666451931	0.2065553665	0.8624411821	4.121426582
22	0.9881876707	0.9881876707	0	0	0.2603371441	0.2062843889	0.8481048346	4.121068954
23	1.001065493	1.001065493	0	0	0.2580097318	0.1969330609	0.8422106504	4.12096262
24	0.9640980959	0.9640980959	0	0	0.2557688057	0.2109180242	0.8420411944	4.121020317
25	0.9498118162	0.9498118162	0	0	0.2609575987	0.2040594667	0.8506731987	4.120934963
26	0.9772111773	0.9772111773	0	0	0.2587829232	0.2242093533	0.8534838557	4.121176243
27	0.9536902905	0.9536902905	0	0	0.2650587559	0.2186009586	0.8627804518	4.121385574
28	0.9886706471	0.9886706471	0	0	0.2639160156	0.2298991829	0.8661849499	4.12151432
29	0.9874229431	0.9874229431	0	0	0.2618350089	0.2265567034	0.8604512215	4.121382713
30	0.9594067335	0.9594067335	0	0	0.2584183812	0.2255383283	0.8534365892	4.121129036
31	0.9554576874	0.9554576874	0	0	0.2541516125	0.2116736472	0.8387681246	4.121055126
32	0.972950995	0.972950995	0	0	0.2525750697	0.2322990149	0.8473322988	4.121108055
33	0.9628691673	0.9628691673	0	0	0.2537129223	0.2302441299	0.8463273048	4.121035576
34	0.9550707936	0.9550707936	0	0	0.2568772733	0.2292085141	0.8490670323	4.121179104
35	0.9239923358	0.9239923358	0	0	0.2645545006	0.2304986566	0.8612790108	4.121273041
36	0.9089537263	0.9089537263	0	0	0.2636376321	0.2348483652	0.8633223176	4.121342659
37	0.8662185669	0.8662185669	0	0	0.2599663138	0.2332889438	0.8553487659	4.121291637
38	0.7998456359	0.7998456359	0	0	0.2521962821	0.2279359996	0.8368032575	4.121053219
39	0.808267951	0.808267951	0	0	0.2543731332	0.2202557325	0.8389050364	4.121006966
40	0.8498078585	0.8498078585	0	0	0.2552313507	0.2378845513	0.8406493068	4.121047497
41	0.8193665743	0.8193665743	0	0	0.2582471073	0.2214355171	0.8448009491	4.12093401
42	0.8076853752	0.8076853752	0	0	0.2580619752	0.2206810266	0.8487471342	4.121118069
43	0.8012286425	0.8012286425	0	0	0.2656679749	0.2206220925	0.861875236	4.121358395
44	0.7980795503	0.7980795503	0	0	0.2666451335	0.216902703	0.8653763533	4.121490002
45	0.8180682659	0.8180682659	0	0	0.264200151	0.2231797874	0.8624399304	4.121458054
46	0.8121886253	0.8121886253	0	0	0.2566339672	0.2145489454	0.8430396318	4.121047974
47	0.8106592894	0.8106592894	0	0	0.2582465708	0.2019107938	0.8424819112	4.120981216
48	0.7864806056	0.7864806056	0	0	0.2540528774	0.2191470712	0.8392193317	4.121015072
49	0.7706595063	0.7706595063	0	0	0.2598199844	0.2003058195	0.8445318341	4.120891571
50	0.7630264759	0.7630264759	0	0	0.2603535056	0.2039581984	0.8503938317	4.121132374
51	0.7642720342	0.7642720342	0	0	0.2686629891	0.2079903781	0.8649673462	4.121371269
52	0.7591667175	0.7591667175	0	0	0.2674689293	0.2051865309	0.8641232848	4.121466637
53	0.7538036704	0.7538036704	0	0	0.2668302059	0.199351877	0.8603663445	4.121309757
54	0.7444565296	0.7444565296	0	0	0.2589361668	0.2016912699	0.8438777924	4.121052265
55	0.7475785017	0.7475785017	0	0	0.259260416	0.188411057	0.8408463001	4.120974064
56	0.745649457	0.745649457	0	0	0.2557156682	0.2055925578	0.8404816389	4.121003628
57	0.7527614832	0.7527614832	0	0	0.2581761479	0.2020498216	0.8458655477	4.12089777
58	0.7724053264	0.7724053264	0	0	0.2604455352	0.2008712441	0.854238987	4.121073246
59	0.7849154472	0.7849154472	0	0	0.2671175897	0.2056919783	0.8638237715	4.121179581
60	0.8013082147	0.8013082147	0	0	0.2672806382	0.2049960643	0.8651482463	4.121284008
61	0.8177089691	0.8177089691	0	0	0.2654126585	0.204316929	0.8589983582	4.12122345
62	0.8424025178	0.8424025178	0	0	0.2548954487	0.2075486928	0.8351956606	4.1210289
63	0.8634757996	0.8634757996	0	0	0.2544984221	0.2003078759	0.8301753998	4.12097168
64	0.8655712605	0.8655712605	0	0	0.2526032031	0.2185210437	0.8341791034	4.121047974
65	0.8682606816	0.8682606816	0	0	0.2571239471	0.2006901354	0.8347998857	4.120862484
66	0.8749005198	0.8749005198	0	0	0.2574160993	0.1963549405	0.8432303667	4.121069908
67	0.864560008	0.864560008	0	0	0.2623109221	0.2060442269	0.8550246954	4.121280193
68	0.8648276329	0.8648276329	0	0	0.2625027597	0.2105358392	0.8573850989	4.121414185
69	0.8750622272	0.8750622272	0	0	0.262435019	0.2067096382	0.8547238111	4.121406078
70	0.8809145689	0.8809145689	0	0	0.2558826208	0.2034028769	0.8374776244	4.121055126
71	0.8748393059	0.8748393059	0	0	0.2545569241	0.19406192	0.8319400549	4.120978832
72	0.8534525633	0.8534525633	0	0	0.2522034347	0.2078966647	0.8317294121	4.12101078
73	0.8490602374	0.8490602374	0	0	0.2538139224	0.2023595124	0.8309502602	4.120934486
74	0.8459280133	0.8459280133	0	0	0.2570325434	0.2014770508	0.8433631063	4.1211133
75	0.8387052417	0.8387052417	0	0	0.2648338079	0.2007526904	0.8567183614	4.121315479
76	0.8368920684	0.8368920684	0	0	0.2643635273	0.1947020739	0.851293385	4.121361732
77	0.8328539729	0.8328539729	0	0	0.2664313316	0.1961843222	0.8548519611	4.121243
78	0.8296007514	0.8296007514	0	0	0.2598202825	0.202927798	0.8428686857	4.121048927
79	0.8386055827	0.8386055827	0	0	0.2581453621	0.196379438	0.837460041	4.120828152
80	0.8414484859	0.8414484859	0	0	0.2525228262	0.2206860483	0.836014986	4.120771885
81	0.8491476178	0.8491476178	0	0	0.2527010143	0.2145477235	0.8329201937	4.12076807
