sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	0.8895258904	0.8895258904	0	0	0.8732692003	0.7558389306	0.5870695114	0
1	0.9406708479	0.9406708479	0	0	0.8803981543	0.7689247131	0.6081963181	0
2	0.9938223958	0.9938223958	0	0	0.882896781	0.77408427	0.6135183573	0
3	0.9732218981	0.9732218981	0	0	0.8748950958	0.7647009492	0.589064002	0
4	1.019860625	1.019860625	0	0	0.8683310747	0.7517082095	0.5679385066	0
5	0.9720406532	0.9720406532	0	0	0.8707806468	0.751229167	0.5760281682	0
6	0.9264604449	0.9264604449	0	0	0.8761672974	0.7540031672	0.5894087553	0
7	0.9561741948	0.9561741948	0	0	0.8774167299	0.7519088984	0.5899650455	0
8	0.9218449593	0.9218449593	0	0	0.8847040534	0.7686975598	0.6113085747	0
9	0.952588141	0.952588141	0	0	0.8854755163	0.7735840678	0.6179116368	0
10	1.077838659	1.077838659	0	0	0.8848608136	0.7781911492	0.6236450076	0
11	1.07294488	1.07294488	0	0	0.8787552714	0.7718297243	0.6058424711	0
12	1.020930886	1.020930886	0	0	0.869943738	0.7558072209	0.5826759338	0
13	0.9970632195	0.9970632195	0	0	0.8648564219	0.7432594299	0.5685297251	0
14	1.032158494	1.032158494	0	0	0.8759101033	0.7571488619	0.5928723216	0
15	1.09755528	1.09755528	0	0	0.8795681	0.7604250908	0.6010378003	0
16	1.062609315	1.062609315	0	0	0.883136034	0.7656983733	0.6086402535	0
17	1.08239162	1.08239162	0	0	0.8806391954	0.7661856413	0.6121193767	0
18	1.100472093	1.100472093	0	0	0.8849945068	0.7803823352	0.6294280291	0
19	1.039946437	1.039946437	0	0	0.8861362934	0.7826606035	0.6258208156	0
20	1.041369915	1.041369915	0	0	0.8850749135	0.7754465938	0.6155111194	0
21	0.985227704	0.985227704	0	0	0.8799239397	0.7654790282	0.6062876582	0
22	0.9870852232	0.9870852232	0	0	0.8784892559	0.7623820305	0.6052821279	0
23	1.005807042	1.005807042	0	0	0.8780279756	0.7589571476	0.6013830304	0
24	1.089096785	1.089096785	0	0	0.8838874102	0.7715745568	0.6198109388	0
25	1.046366692	1.046366692	0	0	0.887717545	0.7785927057	0.628261447	0
26	1.225531459	1.225531459	0	0	0.8876695037	0.7845926881	0.6340851784	0
27	1.11337316	1.11337316	0	0	0.8821286559	0.7763954997	0.6147295833	0
28	1.116552114	1.116552114	0	0	0.8782374263	0.7666683197	0.599604845	0
29	1.109028578	1.109028578	0	0	0.8679662347	0.750218749	0.5794718266	0
30	1.104797721	1.104797721	0	0	0.8711966276	0.7548812628	0.5892955065	0
31	1.064345241	1.064345241	0	0	0.873237431	0.7533648014	0.589384675	0
32	1.074571252	1.074571252	0	0	0.8814435601	0.7685716748	0.6103411913	0
33	1.019667625	1.019667625	0	0	0.8841746449	0.7745901942	0.6166082025	0
34	1.135195017	1.135195017	0	0	0.8827964067	0.7792406678	0.6257303953	0
35	1.097487807	1.097487807	0	0	0.8746750355	0.7683143616	0.6049830317	0
36	1.038874149	1.038874149	0	0	0.8725579381	0.7615246773	0.5928681493	0
37	0.9037610292	0.9037610292	0	0	0.8664269447	0.7497400641	0.5770536661	0
38	0.9751888514	0.9751888514	0	0	0.8684782982	0.7543520331	0.5833702087	0
39	0.922757566	0.922757566	0	0	0.8846939802	0.7696375251	0.6134417653	0
40	1.117395997	1.117395997	0	0	0.8880155683	0.7790232301	0.6296020746	0
41	0.8952357769	0.8952357769	0	0	0.8858422041	0.7777288556	0.6273921728	0
42	1.012552857	1.012552857	0	0	0.8883054852	0.7854002714	0.6342772245	0
43	0.9536916018	0.9536916018	0	0	0.8885971904	0.7867482305	0.6329359412	0
44	1.005463958	1.005463958	0	0	0.8861597776	0.7798243761	0.6237282753	0
45	0.8817154765	0.8817154765	0	0	0.880523026	0.7698674202	0.6126179099	0
46	0.9065779448	0.9065779448	0	0	0.8792384863	0.7647842169	0.607345283	0
47	0.8413004279	0.8413004279	0	0	0.886803925	0.7714323401	0.6218640208	0
48	1.005808115	1.005808115	0	0	0.8888856769	0.7789060473	0.6314510107	0
49	0.8776720762	0.8776720762	0	0	0.8892551661	0.7791026831	0.6292309761	0
50	1.117669582	1.117669582	0	0	0.8924452662	0.7886760235	0.6415890455	0
51	1.077193141	1.077193141	0	0	0.8873957396	0.781940639	0.6281698346	0
52	1.016559958	1.016559958	0	0	0.8785965443	0.7615622878	0.5986260772	0
53	0.883928299	0.883928299	0	0	0.8783368468	0.7592118979	0.6006321907	0
54	0.9395734072	0.9395734072	0	0	0.8797249794	0.76378721	0.6069725156	0
55	0.8561506867	0.8561506867	0	0	0.8827427626	0.7632712126	0.6077013612	0
56	0.8805369139	0.8805369139	0	0	0.8875116706	0.7723404765	0.6200019121	0
57	0.8638312221	0.8638312221	0	0	0.8913576007	0.7802926302	0.6308869123	0
58	1.027653098	1.027653098	0	0	0.8937447071	0.7900506854	0.6434318423	0
