sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	0.8869282007	0.8869282007	0	0	0.8060328364	0.7098431587	0.8337340355	1.093534112
1	0.8917737603	0.8917737603	0	0	0.811119616	0.7162585258	0.8395338655	1.093567848
2	0.8952874541	0.8952874541	0	0	0.8130713105	0.7196457982	0.8412414789	1.093437552
3	0.9034295082	0.9034295082	0	0	0.8119671941	0.7199190855	0.8422676921	1.09348619
4	0.9146034718	0.9146034718	0	0	0.815179944	0.7223207951	0.8436591625	1.093504429
5	0.9133469462	0.9133469462	0	0	0.8127900958	0.7194979787	0.8423669934	1.093467951
6	0.9004192352	0.9004192352	0	0	0.8110292554	0.7151442766	0.836425066	1.093393326
7	0.9003323317	0.9003323317	0	0	0.8112270832	0.7136975527	0.8337490559	1.093480706
8	0.8991187215	0.8991187215	0	0	0.8084418178	0.7125906944	0.8362393975	1.093580008
9	0.8847695589	0.8847695589	0	0	0.811743319	0.7157684565	0.8385311961	1.093615532
10	0.8866853118	0.8866853118	0	0	0.8087317348	0.7145447731	0.8380022645	1.093497753
11	0.891765058	0.891765058	0	0	0.8090783358	0.7153416276	0.8388497233	1.093464851
12	0.8938106298	0.8938106298	0	0	0.8062916994	0.7113772631	0.8362381458	1.093532324
13	0.9217265844	0.9217265844	0	0	0.8071148396	0.7118425369	0.8368088007	1.093523502
14	0.9490405321	0.9490405321	0	0	0.8094222546	0.7132752538	0.8365643024	1.093526721
15	0.9429084063	0.9429084063	0	0	0.8061004877	0.7085152864	0.8316206932	1.093573332
16	0.9447848797	0.9447848797	0	0	0.8077891469	0.710904181	0.8341068029	1.093573213
17	0.9401497841	0.9401497841	0	0	0.811603725	0.7158482075	0.8381898999	1.093535781
18	0.9537617564	0.9537617564	0	0	0.8098826408	0.7159602046	0.8381348848	1.093448043
19	0.9552519917	0.9552519917	0	0	0.8116793633	0.7193364501	0.8419255018	1.093456268
20	0.9459401369	0.9459401369	0	0	0.8143170476	0.7213805914	0.8424248695	1.093428254
21	0.9554003477	0.9554003477	0	0	0.8129010797	0.719330132	0.8418552876	1.093426943
22	0.9506695867	0.9506695867	0	0	0.8102473021	0.7157335877	0.8383401036	1.093376517
23	0.9486234784	0.9486234784	0	0	0.8115175366	0.7154689431	0.8373886347	1.093457222
24	0.9563468099	0.9563468099	0	0	0.8054921031	0.7096503973	0.8348823786	1.093504786
25	0.9587832689	0.9587832689	0	0	0.8108026385	0.7155213356	0.8387515545	1.09354651
26	0.9678421021	0.9678421021	0	0	0.8053103685	0.7117880583	0.8364790082	1.093446732
27	0.9669737816	0.9669737816	0	0	0.8110964894	0.719196558	0.8425952196	1.093494177
28	0.9751644135	0.9751644135	0	0	0.8122955561	0.7208259702	0.8441770673	1.093477368
29	0.9762217402	0.9762217402	0	0	0.8098851442	0.7178880572	0.8424032927	1.093511343
30	0.9686123729	0.9686123729	0	0	0.8054750562	0.711696744	0.8372875452	1.093438625
31	0.9542911053	0.9542911053	0	0	0.80654037	0.7110205293	0.835380733	1.093500018
32	0.9692956805	0.9692956805	0	0	0.8013022542	0.7057936788	0.8332887292	1.093504071
33	0.9564356208	0.9564356208	0	0	0.8011294603	0.7058827281	0.8328405023	1.093550444
34	0.9479566216	0.9479566216	0	0	0.8003130555	0.7062011957	0.8325465322	1.093419075
35	0.945566833	0.945566833	0	0	0.8054593205	0.7128074169	0.8385697603	1.093464732
36	0.9045706391	0.9045706391	0	0	0.8050055504	0.7116252184	0.8375388384	1.093459845
37	0.8528109789	0.8528109789	0	0	0.8012487292	0.7066115141	0.8338435888	1.093505502
38	0.8258861303	0.8258861303	0	0	0.794614315	0.6985237002	0.8276658058	1.093470573
39	0.8202819824	0.8202819824	0	0	0.8095042109	0.7141442299	0.8376666307	1.093507409
40	0.8604151607	0.8604151607	0	0	0.8038495183	0.7083044648	0.8343279958	1.09348619
41	0.7946525812	0.7946525812	0	0	0.8084945679	0.7136976719	0.8376935124	1.093514442
42	0.8024593592	0.8024593592	0	0	0.8059473634	0.7123584151	0.8371585608	1.093377471
43	0.8007897735	0.8007897735	0	0	0.810624063	0.7188677192	0.8425788879	1.093396783
44	0.7883130312	0.7883130312	0	0	0.8140943646	0.7219158411	0.8439331055	1.093357325
45	0.7985876203	0.7985876203	0	0	0.8101119995	0.7174324989	0.8415724635	1.093400836
46	0.8045991063	0.8045991063	0	0	0.8070725203	0.7120742202	0.8362534642	1.093278289
47	0.7954224944	0.7954224944	0	0	0.8120341301	0.7163853645	0.8381080627	1.093331575
48	0.8127772808	0.8127772808	0	0	0.8081219196	0.712483108	0.8368552327	1.093447328
49	0.7874468565	0.7874468565	0	0	0.8134943843	0.7180646062	0.8399233818	1.093500495
50	0.7842740417	0.7842740417	0	0	0.8122803569	0.7180798054	0.8403937221	1.093347311
51	0.7802569866	0.7802569866	0	0	0.8162623048	0.7238937616	0.8449382782	1.09341073
52	0.7788609266	0.7788609266	0	0	0.8192008138	0.726170063	0.8454491496	1.093356252
53	0.7837987542	0.7837987542	0	0	0.8186175823	0.725288868	0.8450924158	1.093430758
54	0.7808695436	0.7808695436	0	0	0.8101729155	0.7146724463	0.8369454145	1.093326211
55	0.767143786	0.767143786	0	0	0.8128246069	0.7160090804	0.8367878795	1.093421221
56	0.7724440694	0.7724440694	0	0	0.8098151684	0.7127808332	0.8354872465	1.093443394
57	0.7663677931	0.7663677931	0	0	0.8140843511	0.7190364003	0.841078341	1.093496919
58	0.7790896893	0.7790896893	0	0	0.8145327568	0.7209925056	0.8431434631	1.093368649
59	0.8015781641	0.8015781641	0	0	0.8159915209	0.724093318	0.8457974792	1.093391657
60	0.804507494	0.804507494	0	0	0.8137851954	0.7212139964	0.8432667851	1.093431473
61	0.8092826009	0.8092826009	0	0	0.8083641529	0.7144004703	0.8387113214	1.093482733
