sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	0.945543766	0.9199501872	0.02559357882	0.5253016353	0.09421958774	0.9409056306	0.8113712072	4.018754005
1	0.91041255	0.8914998174	0.0189127326	0.5288710594	0.09352609515	0.9497406483	0.831042707	4.037215233
2	0.9063206911	0.8925748467	0.01374584436	0.5344883204	0.09454534948	0.9585236311	0.8457061052	4.028599262
3	0.9105783105	0.8964880705	0.01409024	0.541449964	0.09588502347	0.9609923363	0.849055171	4.02576828
4	0.9341219664	0.9248127937	0.00930917263	0.5467432141	0.09553324431	0.9595361352	0.844648838	3.999260664
5	0.9446482062	0.9426574707	0.001990735531	0.5359259248	0.095618397	0.9578524232	0.8378836513	4.004787445
6	0.9250819087	0.9038921595	0.02118974924	0.5353024602	0.09789408743	0.953078866	0.8311858177	4.003372192
7	0.9453575611	0.9141234159	0.03123414516	0.525113225	0.09823283553	0.9417504668	0.8142979145	4.011538982
8	0.9581606984	0.9228157997	0.0353448987	0.532235086	0.09474576265	0.9470540881	0.8234481812	4.017295361
9	0.9162217975	0.8898378015	0.02638399601	0.5329831243	0.09482674301	0.9508921504	0.8324456811	4.034189224
10	0.9009442925	0.8904093504	0.01053494215	0.5391212106	0.09525392205	0.9568377137	0.8412072062	4.026450157
11	0.9008145928	0.888170898	0.01264369488	0.5509995222	0.09641741216	0.9616075158	0.8500619531	4.020307064
12	0.9119147062	0.899389565	0.01252514124	0.5561075807	0.09581017494	0.9593060017	0.8438481688	4.011929035
13	0.9424115419	0.9251990318	0.01721251011	0.5441895127	0.09593382478	0.9572232366	0.8385573626	4.01718235
14	0.9660522938	0.9374491572	0.02860313654	0.5355662107	0.09690297395	0.9500517845	0.8280910254	4.014034271
15	0.962825954	0.9308336973	0.03199225664	0.531693995	0.09820862114	0.9401451349	0.8123312593	4.012328625
16	0.9624177814	0.9499319196	0.01248586178	0.5301437974	0.09759671241	0.9390692711	0.816190064	4.021398067
17	0.9590238929	0.9433401227	0.01568377018	0.532543838	0.0964474678	0.9452367425	0.8268047571	4.038308144
18	0.993637085	0.9735475183	0.02008956671	0.5410684943	0.09528976679	0.9543741345	0.8388130665	4.032301903
19	0.9920271039	0.9642437696	0.02778333426	0.5512091517	0.09574601799	0.9611292481	0.850504458	4.031899452
20	1.002761245	0.9677252769	0.03503596783	0.5525892973	0.09573867172	0.9567095637	0.8423042297	4.022659779
21	1.017828226	0.9920477867	0.02578043938	0.5463919044	0.09526863694	0.9583669305	0.8421436548	4.01800251
22	1.007013798	0.9737195373	0.0332942605	0.5345537066	0.09561620653	0.9494616389	0.8253763318	4.013096809
23	1.020950913	0.9867028594	0.03424805403	0.5299323201	0.09645420313	0.943177104	0.8154383302	4.012874126
24	0.9849449396	0.9728263021	0.01211863756	0.5278604031	0.09441607445	0.9402800202	0.8135805726	4.020642757
25	0.965649724	0.9489037395	0.01674598455	0.5334770679	0.09463439882	0.9483215809	0.829387486	4.033714771
26	0.983512342	0.9702547789	0.01325756311	0.5390769243	0.09330118448	0.955696404	0.8382580876	4.023119926
27	0.9613042474	0.9467903972	0.01451385021	0.5484017134	0.09477990866	0.9617009163	0.8503443599	4.028332233
28	0.9921417236	0.9786212444	0.0135204792	0.550168097	0.09361095726	0.9616015553	0.8497712016	4.016932011
29	0.9998546839	0.9829860926	0.01686859131	0.5462579131	0.09354017675	0.9591581225	0.8414271474	4.013444901
30	0.9844579101	0.9589240551	0.02553385496	0.5397332311	0.09388963878	0.9540481567	0.8310997486	4.013205528
31	0.9867879748	0.950923562	0.03586441278	0.5304698348	0.09539135545	0.9423687458	0.8134106994	4.017284393
32	0.9933985472	0.9616466761	0.03175187111	0.53905195	0.09205800295	0.9458163381	0.819524765	4.019066334
33	0.9817229509	0.9549514055	0.02677154541	0.5387769938	0.09235433489	0.9483680725	0.8227052093	4.031156063
34	0.9606579542	0.9440562725	0.01660168171	0.5445846319	0.09416590631	0.954374969	0.8333064318	4.02531004
35	0.9200990796	0.9160411358	0.004057943821	0.5476070046	0.09576398879	0.9594144225	0.8465718031	4.021401882
36	0.8927072883	0.8890900612	0.003617227077	0.5521022677	0.09523268789	0.9586313963	0.8436480761	4.013623714
37	0.8579841852	0.843798399	0.01418578625	0.5415965915	0.09460151196	0.9550836682	0.8336724639	4.020739079
38	0.7958245873	0.7802106738	0.01561391354	0.5363895297	0.09519931674	0.9466651082	0.8139884472	4.017290115
39	0.8037237525	0.7792668939	0.02445685863	0.5284295678	0.09577711672	0.9413205385	0.8130418062	4.016257286
40	0.8254024982	0.8286129832	-0.003210484982	0.5286108255	0.09644202143	0.9368388057	0.8121213317	4.026311398
41	0.8133786321	0.8027986884	0.01057994366	0.5336161256	0.09417717159	0.9426228404	0.8205389977	4.040177345
42	0.8006800413	0.7927197814	0.007960259914	0.541189909	0.094215855	0.9512841105	0.8319081068	4.031705379
43	0.7964686155	0.7832139134	0.01325470209	0.5460897088	0.09520982206	0.959102273	0.8475733995	4.022966862
44	0.7962573171	0.7821801305	0.01407718658	0.5473509431	0.09537094086	0.9593512416	0.8483546376	4.021692753
45	0.81305933	0.7935273051	0.01953202486	0.5435984731	0.09450157732	0.9574976563	0.8406597972	4.022529125
46	0.8202173114	0.7924946547	0.02772265673	0.5308702588	0.095003739	0.9487576485	0.8218118548	4.01659584
47	0.8195335865	0.7893255949	0.0302079916	0.5271136165	0.09653140604	0.94429636	0.8171702623	4.011427402
48	0.7906601429	0.7817776799	0.008882462978	0.5237962008	0.09389845282	0.9378932714	0.8108856678	4.02464056
49	0.7805422544	0.7676709294	0.01287132502	0.529587388	0.09555729479	0.9440283775	0.8222099543	4.03698349
50	0.769944489	0.7595769167	0.01036757231	0.5357827544	0.09481817484	0.9525391459	0.8353736401	4.032619476
51	0.7654218078	0.758962512	0.00645929575	0.5480300188	0.09618496895	0.9606557488	0.852083683	4.024068356
52	0.7626084685	0.7582103014	0.004398167133	0.5465624332	0.09646537155	0.9595520496	0.8489434123	4.020754814
53	0.7651460767	0.7557092309	0.009436845779	0.5463275313	0.0963383764	0.9564417601	0.8409280181	4.016375065
54	0.7575140595	0.7490256429	0.008488416672	0.5364054441	0.09623237699	0.9476282001	0.8219195008	4.012887001
55	0.7671687603	0.7513452172	0.01582354307	0.530297935	0.09731151164	0.9421674609	0.8152191639	4.0167346
56	0.7613425851	0.7510930896	0.01024949551	0.5290437341	0.09414772689	0.9399061799	0.8149259686	4.028030396
57	0.771709621	0.7557320595	0.01597756147	0.5330131054	0.09397111833	0.9456043243	0.824871242	4.038505554
58	0.7855952382	0.7726342082	0.01296103001	0.5385327339	0.09358339012	0.9554125667	0.8411002159	4.034080505
59	0.7908097506	0.7840774059	0.006732344627	0.5463508368	0.09529488534	0.9600691795	0.8521264195	4.024439812
60	0.8074033856	0.7997325659	0.007670819759	0.5469782948	0.09510258585	0.9588395357	0.8488458991	4.019855976
61	0.8211453557	0.8089093566	0.01223599911	0.545067668	0.09560208023	0.9536218047	0.8369879127	4.021103859
62	0.8452239037	0.8297632933	0.01546061039	0.5346556306	0.09510570765	0.9411486387	0.8119603395	4.015537739
63	0.8644341826	0.8450778723	0.01935631037	0.5308535695	0.09636005759	0.9350731373	0.8044721484	4.012490273
64	0.8656850457	0.8556874394	0.009997606277	0.5261987448	0.09406727552	0.9357706904	0.8095334172	4.023311138
65	0.8745334148	0.8667498231	0.007783591747	0.5315672755	0.09564848989	0.9361485839	0.8126602173	4.040378571
66	0.8829714656	0.8655244708	0.01744699478	0.5379078984	0.094191432	0.9483749866	0.8292888403	4.03503418
67	0.8743695021	0.8517737389	0.02259576321	0.5374445319	0.09458998591	0.9547917247	0.8431736827	4.028099537
68	0.873231411	0.8533117175	0.01991969347	0.5431030393	0.09455543756	0.9552133679	0.8431571722	4.016451359
69	0.886238277	0.865981698	0.02025657892	0.5388381481	0.0948440209	0.9542217255	0.8355764747	4.022392273
70	0.8976157308	0.8707655668	0.02685016394	0.5296067595	0.09497520328	0.9461277723	0.8181191683	4.012145042
71	0.8916204572	0.8710783124	0.02054214478	0.5216166377	0.09584608674	0.9388116002	0.8064202666	4.017101288
72	0.8683700562	0.8649281263	0.003441929817	0.5234876871	0.09414569288	0.9337300062	0.8044044971	4.025583744
73	0.8655179143	0.8577672243	0.007750689983	0.5265561342	0.09514378011	0.935259521	0.8077195287	4.039482117
74	0.8619996309	0.8500869274	0.01191270351	0.5348886847	0.09442340583	0.9471572042	0.8280053735	4.032928944
75	0.8518491387	0.8416960835	0.01015305519	0.5430006385	0.09565886855	0.9545243382	0.844569087	4.024118423
76	0.8512760401	0.8447714448	0.00650459528	0.5415693521	0.09695374221	0.9481898546	0.834671855	4.019293308
