sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	0.9184149504	0.9184149504	0	0	0	0.9528099895	0.8295659423	4.120981693
1	0.8915223479	0.8915223479	0	0	0	0.9574803114	0.8420750499	4.12088871
2	0.891402483	0.891402483	0	0	0	0.962422967	0.8526854515	4.121146679
3	0.9023571014	0.9023571014	0	0	0	0.9637714624	0.8559635878	4.12142849
4	0.9274106026	0.9274106026	0	0	0	0.9636145234	0.8556877971	4.121555805
5	0.940246582	0.940246582	0	0	0	0.9620375633	0.8506897688	4.121243477
6	0.9108096361	0.9108096361	0	0	0	0.9593514204	0.8444103003	4.120920181
7	0.9354948997	0.9354948997	0	0	0	0.9530256987	0.8303477168	4.120828629
8	0.9408771992	0.9408771992	0	0	0	0.9584169984	0.8418520689	4.121006012
9	0.9043927789	0.9043927789	0	0	0	0.9593015313	0.8457097411	4.120798588
10	0.9050465822	0.9050465822	0	0	0	0.960850656	0.8483771086	4.121011734
11	0.9120557904	0.9120557904	0	0	0	0.9651510119	0.859608233	4.121183872
12	0.9155871272	0.9155871272	0	0	0	0.9635150433	0.8554387093	4.121172428
13	0.9517344236	0.9517344236	0	0	0	0.9617030025	0.8512096405	4.121143341
14	0.9645569324	0.9645569324	0	0	0	0.9572317004	0.8410639167	4.120858669
15	0.9616212249	0.9616212249	0	0	0	0.9525702596	0.8292015791	4.12079525
16	0.9569277167	0.9569277167	0	0	0	0.954256773	0.8362833858	4.120964527
17	0.9477957487	0.9477957487	0	0	0	0.9562357664	0.8423517942	4.120790482
18	0.984992981	0.984992981	0	0	0	0.9601974487	0.848739624	4.121024609
19	0.9845860004	0.9845860004	0	0	0	0.964425683	0.8589323759	4.121268272
20	0.9870173335	0.9870173335	0	0	0	0.9610808492	0.8523012996	4.12131691
21	1.015378714	1.015378714	0	0	0	0.9629412293	0.8552104235	4.121212482
22	0.9916694164	0.9916694164	0	0	0	0.9559597969	0.83803159	4.120900154
23	1.005464077	1.005464077	0	0	0	0.9533578753	0.8319845796	4.120834827
24	0.9672676921	0.9672676921	0	0	0	0.9530322552	0.8321686983	4.12088871
25	0.953756988	0.953756988	0	0	0	0.9573095441	0.8428493738	4.120779514
26	0.9835435748	0.9835435748	0	0	0	0.960108161	0.8468735218	4.121002674
27	0.9610168934	0.9610168934	0	0	0	0.9639084935	0.8566852808	4.121224403
28	1.002621055	1.002621055	0	0	0	0.9646738768	0.8593996763	4.121317863
29	1.007981539	1.007981539	0	0	0	0.9624417424	0.852887392	4.121178627
30	0.9854340553	0.9854340553	0	0	0	0.9593209624	0.8444664478	4.120945454
31	0.9805861115	0.9805861115	0	0	0	0.9518619776	0.8280099034	4.120925903
32	0.9993280768	0.9993280768	0	0	0	0.9565374255	0.837334156	4.120962143
33	0.9877142906	0.9877142906	0	0	0	0.9567345381	0.8376005292	4.120909691
34	0.9763575792	0.9763575792	0	0	0	0.958093524	0.8408263922	4.1210289
35	0.9433562756	0.9433562756	0	0	0	0.9627871513	0.8542947173	4.121109962
36	0.9199550152	0.9199550152	0	0	0	0.9632955194	0.85596627	4.121148109
