sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	0.9201242328	0.9201242328	0	0	0.2536857128	0.2003771961	0.8377065063	4.121130466
1	0.8914174438	0.8914174438	0	0	0.2585416436	0.1999699026	0.8493506908	4.121034145
2	0.8924881816	0.8924881816	0	0	0.2634038627	0.1981550008	0.8597916365	4.121308804
3	0.898984611	0.898984611	0	0	0.2667739391	0.2043603659	0.8624582887	4.121562004
4	0.9202646613	0.9202646613	0	0	0.2649397552	0.2022136748	0.8623509407	4.121764183
5	0.9278879762	0.9278879762	0	0	0.2640536726	0.1999104321	0.8586770892	4.121490955
6	0.8948201537	0.8948201537	0	0	0.2654168606	0.1844953895	0.8532603979	4.121100903
7	0.9187297821	0.9187297821	0	0	0.2599463463	0.1787960231	0.8395962715	4.120967388
8	0.924952209	0.924952209	0	0	0.2590281367	0.1961787343	0.8491944075	4.121141911
9	0.8827271461	0.8827271461	0	0	0.2611619532	0.1943042874	0.8524570465	4.120923042
10	0.8864808679	0.8864808679	0	0	0.2615231872	0.2071115673	0.8553990722	4.121170044
11	0.8942810297	0.8942810297	0	0	0.2678751647	0.2119528949	0.8649614453	4.121362209
12	0.9038925171	0.9038925171	0	0	0.2649967968	0.2110453397	0.862339139	4.121366501
13	0.9435370564	0.9435370564	0	0	0.2645653486	0.204848215	0.858520031	4.121359825
14	0.9575211406	0.9575211406	0	0	0.2623924613	0.1968420297	0.8508769274	4.121032715
15	0.9593535066	0.9593535066	0	0	0.2576003075	0.1955345869	0.8394705653	4.120946884
16	0.9581108093	0.9581108093	0	0	0.2605887949	0.2061680853	0.845394671	4.121108055
17	0.9514029622	0.9514029622	0	0	0.2638278902	0.1999074221	0.8503518105	4.12092495
18	0.9876407385	0.9876407385	0	0	0.2628114522	0.208907038	0.855584383	4.12118578
19	0.9864178896	0.9864178896	0	0	0.2676769793	0.2124141455	0.864223361	4.121435165
20	0.987382412	0.987382412	0	0	0.266633749	0.2034551352	0.8594232202	4.121519089
21	1.014032483	1.014032483	0	0	0.2666452825	0.2065555304	0.8624411821	4.121426582
22	0.9881874919	0.9881874919	0	0	0.2603371739	0.206284523	0.8481048346	4.121068954
23	1.001065493	1.001065493	0	0	0.2580097616	0.1969332248	0.8422106504	4.12096262
24	0.9640980959	0.9640980959	0	0	0.2557688355	0.2109181732	0.8420411944	4.121020317
25	0.9498117566	0.9498117566	0	0	0.2609576285	0.2040596008	0.8506731391	4.120934486
26	0.9772111177	0.9772111177	0	0	0.258782953	0.2242095172	0.8534838557	4.121176243
27	0.9536902905	0.9536902905	0	0	0.2650587857	0.2186010927	0.8627804518	4.121385574
28	0.9886705279	0.9886705279	0	0	0.2639160752	0.2298993617	0.8661849499	4.12151432
29	0.9874228239	0.9874228239	0	0	0.2618350387	0.2265568972	0.8604512215	4.121382713
30	0.9594065547	0.9594065547	0	0	0.2584184408	0.2255384773	0.8534365892	4.121129513
31	0.9554575682	0.9554575682	0	0	0.2541516721	0.2116738111	0.8387681246	4.121055603
32	0.9729506969	0.9729506969	0	0	0.2525751293	0.232299149	0.8473323584	4.121108055
33	0.9628689885	0.9628689885	0	0	0.2537129819	0.2302442938	0.8463273048	4.121035576
34	0.9550706744	0.9550706744	0	0	0.2568773329	0.2292086929	0.8490670323	4.121179104
35	0.9239919782	0.9239919782	0	0	0.2645545602	0.2304987907	0.8612788916	4.121273041
36	0.9089535475	0.9089535475	0	0	0.2636376619	0.2348485738	0.8633223176	4.121342182
37	0.8662183881	0.8662183881	0	0	0.2599663734	0.2332890779	0.8553487659	4.121291637
38	0.7998455763	0.7998455763	0	0	0.2521963418	0.2279361337	0.8368032575	4.121053219
39	0.8082678914	0.8082678914	0	0	0.2543731928	0.2202559412	0.8389050364	4.121006966
40	0.8498075604	0.8498075604	0	0	0.2552313805	0.2378847003	0.8406493068	4.121047497
41	0.8193663359	0.8193663359	0	0	0.2582471371	0.2214356661	0.8448009491	4.120934486
42	0.8076851964	0.8076851964	0	0	0.2580620348	0.2206811607	0.8487471342	4.121118069
