experiment	MAE	MSE	RMSE	MAPE	MSPE
long_term_forecast_ETTh1_192_96_Koopa_ETTh1_ftM_sl192_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4159291089	0.3974321783	0.6304222345	9.922846794	40466.80469
long_term_forecast_ETTh1_288_144_Koopa_ETTh1_ftM_sl288_ll48_pl144_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4290738106	0.4194648862	0.6476610899	10.20065212	41266.53906
long_term_forecast_ETTh1_32_8_A1_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_A1_stage0protocol_check_smoke_0	0.5679250956	0.7482948899	0.8650404215	13.23236084	51339.76953
long_term_forecast_ETTh1_32_8_A1_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_emb_A1_dualspace_check_smoke_0	0.5653058887	0.7447487116	0.8629882336	13.2703619	51902
long_term_forecast_ETTh1_32_8_A1_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_hidden_A1_dualspace_check_smoke_0	0.5679250956	0.7482948899	0.8650404215	13.23236084	51339.76953
long_term_forecast_ETTh1_32_8_A3_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_emb_A3_cinv_B1_softmap_cinv_check_smoke_0	0.5595852137	0.7331498861	0.856241703	13.38810825	53061.25
long_term_forecast_ETTh1_32_8_A3_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_emb_A3_cinv_B2_patternonly_zinv_C2_stablerelcorr_zinv_implcheck_smoke_0	0.554554224	0.7195577025	0.8482674956	13.19928265	51687.53906
long_term_forecast_ETTh1_32_8_A3_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_A3_cinv_B2_patternonly_zinv_C2_stablerelcorr_raw_implcheck_smoke_0	0.5506602526	0.7106317878	0.8429898024	12.97721577	49841.33203
long_term_forecast_ETTh1_32_8_A3_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A3_B2_C2_P1_M3_V0_predmapcheck_smoke_0	0.5513061881	0.7123121023	0.8439858556	12.98304844	49935.81641
long_term_forecast_ETTh1_32_8_A3_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A3_cinv_B2_patternonly_zinv_C2_stablerelcorr_variant_V0_latentonly_rawvar_implcheck_smoke_0	0.5513062477	0.7123154998	0.8439878821	12.98323727	49937.6875
long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_patchauto_A5_cinv_B2_patternonly_zinv_C2_stablerelcorr_variant_V0_latentonly_rawvar_implcheck_smoke_0	0.5427289605	0.7047373056	0.8394863605	12.98626232	52353.31641
long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_patchauto_A5_cinv_B2_patternonly_zinv_C2_stablerelcorr_variant_V1_rawdev_rawvar_implcheck_smoke_0	0.5427309871	0.7059435844	0.8402044773	12.96001911	52041.82812
long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A5_B2_C2_P2_M2_V0_fusion_F4_full_relation_R0_HF3_hf_smoke_v1_smoke_0	0.5514889359	0.7127159834	0.844225049	12.98912907	49980.35156
long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A5_B2_C2_P2_M2_V0_fusion_F4_full_relation_R2_relation_smoke_v1_smoke_0	0.5509957671	0.711612761	0.8435714245	12.98385048	49958.44141
long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A5_B2_C2_P2_M2_V0_fusion_F4_full_typedcheck_smoke_0	0.5510009527	0.7117052674	0.8436262608	12.98905182	50006.61719
long_term_forecast_ETTh1_32_8_A5_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_raw_raw_freezepatch_A5_B2_C2_P2_M2_Vfull_factorvarcheck_smoke_0	0.548832655	0.7149678469	0.8455576897	12.91221046	51491.28125
long_term_forecast_ETTh1_32_8_A6AMP_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_A6_amp_smoke_0	0.5617251396	0.7498541474	0.8659411669	13.54507828	54717.93359
long_term_forecast_ETTh1_32_8_A6_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_A6_smoke_0	0.5617319942	0.7498677969	0.8659490943	13.54489899	54715.51562
long_term_forecast_ETTh1_32_8_A6_amp_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_A6_amp_smoke_0	0.6152206063	0.9156090021	0.956874609	13.86651611	63725.10938
long_term_forecast_ETTh1_384_192_Koopa_ETTh1_ftM_sl384_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4357284606	0.4248592854	0.651812315	10.31658363	41048.79688
long_term_forecast_ETTh1_96_192_DLinear_ETTh1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4403814673	0.4450070262	0.667088449	8.508771896	30775.94336
